timestamp,usia,jenis_kelamin,tinggi_badan,berat_badan,aktivitas_fisik,pekerjaan,sarapan_makanan_1,sarapan_makanan_2,sarapan_makanan_3,sarapan_makanan_4,sarapan_makanan_5,sarapan_harga_minimal,sarapan_harga_maksimal,sarapan_asin,sarapan_manis,sarapan_asam,sarapan_gurih,sarapan_pedas,sarapan_renyah,sarapan_halus,sarapan_creamy,sarapan_kental,sarapan_digoreng,sarapan_direbus,sarapan_dibakar,sarapan_dikukus,sarapan_cepat_saji,sarapan_beli,makansiang_makanan_1,makansiang_makanan_2,makansiang_makanan_3,makansiang_makanan_4,makansiang_makanan_5,makansiang_harga_minimal,makansiang_harga_maksimal,makansiang_asin,makansiang_manis,makansiang_asam,makansiang_gurih,makansiang_pedas,makansiang_renyah,makansiang_halus,makansiang_creamy,makansiang_kental,makansiang_digoreng,makansiang_direbus,makansiang_dibakar,makansiang_dikukus,makansiang_cepat_saji,makansiang_beli,makanmalam_makanan_1,makanmalam_makanan_2,makanmalam_makanan_3,makanmalam_makanan_4,makanmalam_makanan_5,makanmalam_harga_minimal,makanmalam_harga_maksimal,makanmalam_asin,makanmalam_manis,makanmalam_asam,makanmalam_gurih,makanmalam_pedas,makanmalam_renyah,makanmalam_halus,makanmalam_creamy,makanmalam_kental,makanmalam_digoreng,makanmalam_direbus,makanmalam_dibakar,makanmalam_dikukus,makanmalam_cepat_saji,makanmalam_beli,snack_makanan_1,snack_makanan_2,snack_makanan_3,snack_makanan_4,snack_makanan_5,snack_harga_minimal,snack_harga_maksimal,snack_asin,snack_manis,snack_asam,snack_gurih,snack_pedas,snack_renyah,snack_halus,snack_creamy,snack_kental,snack_digoreng,snack_direbus,snack_dibakar,snack_dikukus,snack_cepat_saji,snack_beli
21/05/2023 20:20:46,45,Perempuan,150,50,Sedang,Wirausaha,64,65,66,67,160,10000,20000,9,10,9,10,10,10,9,10,9,10,10,10,9,Tidak,Tidak,121,122,123,124,124,10000,15000,8,9,9,10,10,9,9,10,10,10,9,9,10,Tidak,Tidak,164,165,166,81,60,10000,20000,8,9,9,8,9,10,10,10,10,9,9,9,10,Tidak,Tidak,1,2,3,9,15,10000,50000,10,9,9,8,9,10,10,9,9,9,9,10,10,Tidak,Tidak
21/05/2023 20:26:15,30,Laki-laki,165,40,Ringan,Guru,139,140,141,142,143,10000,20000,8,9,10,8,9,9,10,10,10,10,9,9,10,Tidak,Ya,107,109,106,110,111,10000,20000,10,9,9,8,10,10,9,8,8,10,10,10,9,Tidak,Tidak,112,113,114,160,161,10000,22000,10,9,8,10,9,9,10,9,10,9,10,9,9,Tidak,Tidak,163,164,1,2,3,1000,30000,10,8,10,8,10,10,9,10,10,9,9,10,10,Tidak,Tidak
21/05/2023 20:37:27,18,Laki-laki,160,55,Ringan,Mahasiswa,164,163,160,161,144,10000,15000,9,9,7,9,9,9,10,10,9,8,9,9,10,Tidak,Tidak,61,62,63,64,65,10000,20000,8,9,9,9,10,9,9,9,10,10,9,9,10,Tidak,Ya,21,22,23,24,25,10000,15000,8,9,10,10,9,9,10,9,10,9,9,10,10,Ya,Ya,1,2,130,129,3,10000,15000,9,10,9,10,9,9,8,10,10,10,9,9,10,Tidak,Tidak
21/05/2023 20:42:17,22,Perempuan,150,40,Sedang,Mahasiswa,160,161,125,126,124,10000,20000,9,10,10,10,9,9,9,10,9,10,10,10,10,Tidak,Tidak,21,22,24,23,25,6000,10000,9,9,7,10,10,9,9,10,10,9,10,9,10,Tidak,Tidak,21,22,23,24,25,4000,10000,8,9,10,9,10,9,10,9,10,9,9,10,10,Ya,Tidak,129,135,2,1,3,2000,10000,9,8,10,9,10,10,10,10,9,10,10,9,10,Tidak,Tidak
21/05/2023 20:48:59,29,Perempuan,180,70,Sedang,PNS,163,164,158,159,144,15000,20000,10,9,9,10,10,9,9,10,10,10,9,9,10,Tidak,Ya,121,122,123,125,126,10000,15000,10,9,9,10,10,10,10,9,10,9,9,9,10,Tidak,Tidak,21,14,22,23,25,2000,10000,10,9,10,9,9,10,8,9,9,10,10,10,9,Tidak,Tidak,134,135,136,137,1,10000,30000,10,9,9,10,7,9,9,10,9,10,9,9,10,Tidak,Tidak
21/05/2023 20:54:14,25,Perempuan,163,40,Ringan,Wirausaha,121,122,123,124,144,10000,20000,8,9,7,9,10,9,10,8,10,10,9,9,10,Tidak,Tidak,12,11,13,96,97,10000,15000,10,9,7,10,10,9,8,9,9,9,9,9,10,Tidak,Ya,114,115,116,124,125,10000,15000,10,9,9,9,10,10,8,9,10,9,9,10,10,Tidak,Tidak,6,7,8,9,10,10000,20000,9,9,7,9,9,8,9,10,10,9,10,9,10,Tidak,Tidak
21/05/2023 21:02:01,50,Laki-laki,180,50,Ringan,Wirausaha,50,51,52,158,159,10000,20000,10,9,10,9,9,9,10,9,9,8,9,9,10,Tidak,Ya,118,119,120,114,122,10000,20000,10,9,9,9,8,10,10,9,10,10,10,9,10,Tidak,Tidak,104,106,105,107,124,10000,20000,8,8,7,10,7,10,9,9,10,9,9,8,9,Tidak,Tidak,34,35,36,167,168,22000,40000,10,9,9,10,9,9,10,9,10,9,10,10,10,Tidak,Tidak
21/05/2023 21:08:06,30,Perempuan,160,44,Ringan,Wirausaha,158,159,160,161,163,5000,10000,10,9,9,10,8,9,9,10,10,9,10,10,10,Tidak,Tidak,21,22,23,24,25,10000,15000,10,9,9,8,9,10,9,10,9,10,9,9,10,Ya,Ya,21,22,23,24,25,10000,15000,10,10,9,9,10,8,10,10,9,9,9,10,10,Ya,Ya,30,33,35,34,36,10000,20000,10,9,9,8,10,9,10,10,8,9,10,9,10,Tidak,Tidak
21/05/2023 21:16:23,26,Laki-laki,170,40,Sedang,Guru,163,164,115,116,116,10000,20000,10,10,9,9,8,10,8,10,10,9,9,9,10,Tidak,Tidak,60,61,62,64,63,4000,20000,10,9,8,9,9,10,9,9,9,10,9,10,10,Tidak,Tidak,21,22,23,24,25,5000,10000,10,9,9,9,9,9,10,10,8,10,9,10,10,Tidak,Tidak,131,132,1,170,168,5000,20000,9,9,8,9,10,9,10,9,9,10,10,10,10,Tidak,Tidak
21/05/2023 21:43:55,44,Laki-laki,170,50,Ringan,Mahasiswa,21,22,23,24,25,3000,10000,10,9,9,10,10,8,9,10,9,10,10,9,9,Tidak,Tidak,138,137,139,140,141,15000,20000,10,9,10,10,9,9,9,9,8,10,10,10,10,Tidak,Tidak,21,22,24,23,25,2000,10000,10,9,9,8,9,10,10,10,9,9,9,9,9,Tidak,Tidak,1,2,3,10,9,2000,20000,10,9,9,10,9,8,10,9,10,9,10,10,10,Tidak,Tidak
