user_id,usia,jenis_kelamin,tinggi_badan,berat_badan,aktivitas_fisik,pekerjaan,waktu_makan,harga_minimal,harga_maksimal,asin,manis,asam,gurih,pedas,renyah,halus,creamy,kental,digoreng,direbus,dibakar,dikukus,cepat_saji,beli,ranking,makanan,rating
5,20,Perempuan,158,40,Ringan,mahasiswa,snack,2000.0,10000.0,5,9,3,9,9,9,6,4,5,7,2,2,2,Ya,Ya,4,15,2
5,20,Perempuan,158,40,Ringan,mahasiswa,snack,2000.0,10000.0,5,9,3,9,9,9,6,4,5,7,2,2,2,Ya,Ya,5,167,1
6,20,Perempuan,150,45,Sedang,mahasiswa,makanmalam,10000.0,40000.0,7,6,6,8,6,7,8,5,5,9,6,9,6,Ya,Ya,1,83,5
6,20,Perempuan,150,45,Sedang,mahasiswa,makanmalam,10000.0,40000.0,7,6,6,8,6,7,8,5,5,9,6,9,6,Ya,Ya,2,81,4
6,20,Perempuan,150,45,Sedang,mahasiswa,makanmalam,10000.0,40000.0,7,6,6,8,6,7,8,5,5,9,6,9,6,Ya,Ya,3,64,3
6,20,Perempuan,150,45,Sedang,mahasiswa,makanmalam,10000.0,40000.0,7,6,6,8,6,7,8,5,5,9,6,9,6,Ya,Ya,4,57,2
6,20,Perempuan,150,45,Sedang,mahasiswa,makanmalam,10000.0,40000.0,7,6,6,8,6,7,8,5,5,9,6,9,6,Ya,Ya,5,62,1
6,20,Perempuan,150,45,Sedang,mahasiswa,makansiang,10000.0,40000.0,7,5,7,9,6,8,5,4,6,8,4,6,7,Tidak,Tidak,1,113,5
6,20,Perempuan,150,45,Sedang,mahasiswa,makansiang,10000.0,40000.0,7,5,7,9,6,8,5,4,6,8,4,6,7,Tidak,Tidak,2,123,4
6,20,Perempuan,150,45,Sedang,mahasiswa,makansiang,10000.0,40000.0,7,5,7,9,6,8,5,4,6,8,4,6,7,Tidak,Tidak,3,68,3
6,20,Perempuan,150,45,Sedang,mahasiswa,makansiang,10000.0,40000.0,7,5,7,9,6,8,5,4,6,8,4,6,7,Tidak,Tidak,4,110,2
6,20,Perempuan,150,45,Sedang,mahasiswa,makansiang,10000.0,40000.0,7,5,7,9,6,8,5,4,6,8,4,6,7,Tidak,Tidak,5,63,1
6,20,Perempuan,150,45,Sedang,mahasiswa,sarapan,5000.0,20000.0,4,8,4,7,5,8,9,4,8,7,2,2,2,Tidak,Tidak,1,135,5
6,20,Perempuan,150,45,Sedang,mahasiswa,sarapan,5000.0,20000.0,4,8,4,7,5,8,9,4,8,7,2,2,2,Tidak,Tidak,2,144,4
6,20,Perempuan,150,45,Sedang,mahasiswa,sarapan,5000.0,20000.0,4,8,4,7,5,8,9,4,8,7,2,2,2,Tidak,Tidak,3,160,3
6,20,Perempuan,150,45,Sedang,mahasiswa,sarapan,5000.0,20000.0,4,8,4,7,5,8,9,4,8,7,2,2,2,Tidak,Tidak,4,60,2
6,20,Perempuan,150,45,Sedang,mahasiswa,sarapan,5000.0,20000.0,4,8,4,7,5,8,9,4,8,7,2,2,2,Tidak,Tidak,5,24,1
6,20,Perempuan,150,45,Sedang,mahasiswa,snack,5000.0,15000.0,6,8,6,6,8,7,7,7,5,8,7,8,8,Ya,Ya,1,32,5
6,20,Perempuan,150,45,Sedang,mahasiswa,snack,5000.0,15000.0,6,8,6,6,8,7,7,7,5,8,7,8,8,Ya,Ya,2,6,4
6,20,Perempuan,150,45,Sedang,mahasiswa,snack,5000.0,15000.0,6,8,6,6,8,7,7,7,5,8,7,8,8,Ya,Ya,3,169,3
6,20,Perempuan,150,45,Sedang,mahasiswa,snack,5000.0,15000.0,6,8,6,6,8,7,7,7,5,8,7,8,8,Ya,Ya,4,33,2
6,20,Perempuan,150,45,Sedang,mahasiswa,snack,5000.0,15000.0,6,8,6,6,8,7,7,7,5,8,7,8,8,Ya,Ya,5,129,1
7,21,Laki-laki,177,88,Sedang,mahasiswa,makanmalam,10000.0,25000.0,7,8,6,7,5,6,8,8,8,8,8,9,9,Ya,Ya,1,15,5
7,21,Laki-laki,177,88,Sedang,mahasiswa,makanmalam,10000.0,25000.0,7,8,6,7,5,6,8,8,8,8,8,9,9,Ya,Ya,2,17,4
7,21,Laki-laki,177,88,Sedang,mahasiswa,makanmalam,10000.0,25000.0,7,8,6,7,5,6,8,8,8,8,8,9,9,Ya,Ya,3,145,3
7,21,Laki-laki,177,88,Sedang,mahasiswa,makanmalam,10000.0,25000.0,7,8,6,7,5,6,8,8,8,8,8,9,9,Ya,Ya,4,23,2
7,21,Laki-laki,177,88,Sedang,mahasiswa,makanmalam,10000.0,25000.0,7,8,6,7,5,6,8,8,8,8,8,9,9,Ya,Ya,5,40,1
7,21,Laki-laki,177,88,Sedang,mahasiswa,makansiang,15000.0,25000.0,9,2,8,8,8,8,7,6,6,9,9,9,8,Ya,Tidak,1,63,5
7,21,Laki-laki,177,88,Sedang,mahasiswa,makansiang,15000.0,25000.0,9,2,8,8,8,8,7,6,6,9,9,9,8,Ya,Tidak,2,121,4
7,21,Laki-laki,177,88,Sedang,mahasiswa,makansiang,15000.0,25000.0,9,2,8,8,8,8,7,6,6,9,9,9,8,Ya,Tidak,3,62,3
7,21,Laki-laki,177,88,Sedang,mahasiswa,makansiang,15000.0,25000.0,9,2,8,8,8,8,7,6,6,9,9,9,8,Ya,Tidak,4,64,2
7,21,Laki-laki,177,88,Sedang,mahasiswa,makansiang,15000.0,25000.0,9,2,8,8,8,8,7,6,6,9,9,9,8,Ya,Tidak,5,94,1
7,21,Laki-laki,177,88,Sedang,mahasiswa,sarapan,10000.0,20000.0,8,6,4,5,5,6,6,4,4,7,4,5,6,Ya,Tidak,1,11,5
7,21,Laki-laki,177,88,Sedang,mahasiswa,sarapan,10000.0,20000.0,8,6,4,5,5,6,6,4,4,7,4,5,6,Ya,Tidak,2,40,4
7,21,Laki-laki,177,88,Sedang,mahasiswa,sarapan,10000.0,20000.0,8,6,4,5,5,6,6,4,4,7,4,5,6,Ya,Tidak,3,42,3
7,21,Laki-laki,177,88,Sedang,mahasiswa,sarapan,10000.0,20000.0,8,6,4,5,5,6,6,4,4,7,4,5,6,Ya,Tidak,4,52,2
7,21,Laki-laki,177,88,Sedang,mahasiswa,sarapan,10000.0,20000.0,8,6,4,5,5,6,6,4,4,7,4,5,6,Ya,Tidak,5,126,1
7,21,Laki-laki,177,88,Sedang,mahasiswa,snack,10000.0,15000.0,8,8,6,6,6,7,7,8,8,7,7,7,7,Ya,Ya,1,18,5
7,21,Laki-laki,177,88,Sedang,mahasiswa,snack,10000.0,15000.0,8,8,6,6,6,7,7,8,8,7,7,7,7,Ya,Ya,2,170,4
7,21,Laki-laki,177,88,Sedang,mahasiswa,snack,10000.0,15000.0,8,8,6,6,6,7,7,8,8,7,7,7,7,Ya,Ya,3,169,3
7,21,Laki-laki,177,88,Sedang,mahasiswa,snack,10000.0,15000.0,8,8,6,6,6,7,7,8,8,7,7,7,7,Ya,Ya,4,15,2
7,21,Laki-laki,177,88,Sedang,mahasiswa,snack,10000.0,15000.0,8,8,6,6,6,7,7,8,8,7,7,7,7,Ya,Ya,5,167,1
8,19,Laki-laki,160,60,Sedang,mahasiswa,makanmalam,15000.0,30000.0,4,10,1,10,1,8,10,6,3,8,2,7,2,Ya,Ya,1,22,5
8,19,Laki-laki,160,60,Sedang,mahasiswa,makanmalam,15000.0,30000.0,4,10,1,10,1,8,10,6,3,8,2,7,2,Ya,Ya,2,81,4
